zipcode;Population;Area
1011;6606;1.032
1012;7067;1.207
1013;26792;6.3
1014;15056;2.699
1015;5926;0.776
1016;5568;0.793
1017;9336;1.293
1018;14004;2.159
1019;13174;2.996
1021;6539;1.486
1022;4738;1.157
1023;6128;2.597
1024;7461;1.58
1025;13033;2.414
1026;2946;12.4
1027;6082;10
1028;2434;13.9
1031;9049;1.621
1032;8332;1.482
1033;19151;3.881
1034;11152;2.107
1035;13196;2.616
1036;1765;0.242
1037;2234;0.09
1041;17548;3.535
1042;13282;2.517
1043;16208;3.425
1044;16275;3.063
1045;20241;5.9
1046;15789;4.257
1047;28120;10.5
1051;6151;0.925
1052;4176;0.625
1053;4582;0.709
1054;6186;0.957
1055;8424;1.26
1056;6817;0.982
1057;6466;1.015
1058;7080;1.128
1059;4699;0.832
1060;6496;1.621
1061;7450;1.103
1062;9257;1.563
1063;9431;1.298
1064;12497;2.821
1065;9464;1.88
1066;27614;6.4
1067;24811;8.8
1068;11594;1.887
1069;15531;2.317
1071;9773;1.366
1072;4281;0.63
1073;4214;0.601
1074;2445;0.432
1075;6139;0.98
1076;8440;1.341
1077;11582;1.753
1078;7797;1.161
1079;9471;1.576
1081;13677;3.311
1082;8852;1.53
1083;8869;1.729
1086;878;2.526
1087;6204;6.8
1091;6905;0.961
1092;3710;0.547
1093;3927;0.605
1094;3289;0.477
1095;11070;4.195
1096;12764;3.086
1097;15472;2.742
1098;14066;2.877
1101;14750;2.384
1102;13813;2.915
1103;9294;1.993
1104;10044;2.104
1105;10310;3.48
1106;12102;2.54
1107;7301;1.997
1108;5045;2.858
1109;2766;1.65
1114;5279;3.181
